"","Origin","Target","Distance"
"1","Barking and Dagenham","Barking and Dagenham",0
"2","Barking and Dagenham","Barne",25.1001577196178
"3","Barking and Dagenham","Bexley",9.26479444102809
"4","Barking and Dagenham","Brent",27.8559105937719
"5","Barking and Dagenham","Bromley",19.9541754887053
"6","Barking and Dagenham","Camden",20.1570827194613
"7","Barking and Dagenham","City of London",15.995126517608
"8","Barking and Dagenham","Croydon",20.6545910929654
"9","Barking and Dagenham","Ealing",25.9785928441684
"10","Barking and Dagenham","Enfield",32.293099162573
"11","Barking and Dagenham","Greenwich",19.3654338872199
"12","Barking and Dagenham","Hackney",9.4264387822055
"13","Barking and Dagenham","Hammersmith and Fulham",13.6588763531111
"14","Barking and Dagenham","Haringey",25.1602033272573
"15","Barking and Dagenham","Harrow",17.4640799089246
"16","Barking and Dagenham","Havering",33.4282882500936
"17","Barking and Dagenham","Hillingdon",6.4157590281535
"18","Barking and Dagenham","Hounslow",40.1505091074027
"19","Barking and Dagenham","Islington",35.664943741549
"20","Barking and Dagenham","Kensington and Chelsea",16.8907445033979
"21","Barking and Dagenham","Kingston upon Thames",23.0752325502849
"22","Barking and Dagenham","Lambeth",33.9603481306355
"23","Barking and Dagenham","Lewisham",20.1343196454422
"24","Barking and Dagenham","Merton",15.0604699654264
"25","Barking and Dagenham","Newham",27.368241797705
"26","Barking and Dagenham","Redbridge",6.90049041749421
"27","Barking and Dagenham","Richmond upon Thames",6.10780501705273
"28","Barking and Dagenham","Southwark",32.9227398751449
"29","Barking and Dagenham","Sutton",16.3427777698571
"30","Barking and Dagenham","Tower Hamlets",29.592452260746
"31","Barking and Dagenham","Waltham Forest",12.0602309390505
"32","Barking and Dagenham","Wandsworth",11.541475192184
"33","Barking and Dagenham","Westminster",24.4209977900021
"34","Barne","Barking and Dagenham",25.1001577196178
"35","Barne","Barne",0
"36","Barne","Bexley",29.9232266313734
"37","Barne","Brent",7.54316130521223
"38","Barne","Bromley",32.6618667277671
"39","Barne","Camden",8.56028188696953
"40","Barne","City of London",13.935492823232
"41","Barne","Croydon",11.9165772130141
"42","Barne","Ealing",30.2291441230266
"43","Barne","Enfield",13.3653259376174
"44","Barne","Greenwich",9.34591125916432
"45","Barne","Hackney",24.2356166780728
"46","Barne","Hammersmith and Fulham",12.3958387633581
"47","Barne","Haringey",13.4821147130238
"48","Barne","Harrow",7.65487083227099
"49","Barne","Havering",9.31654350691962
"50","Barne","Hillingdon",30.4029982286218
"51","Barne","Hounslow",18.3163037656987
"52","Barne","Islington",19.6615963424033
"53","Barne","Kensington and Chelsea",10.2102917111572
"54","Barne","Kingston upon Thames",12.831360237835
"55","Barne","Lambeth",25.9313571226556
"56","Barne","Lewisham",19.130887746611
"57","Barne","Merton",22.8354483254032
"58","Barne","Newham",22.9398285613935
"59","Barne","Redbridge",19.8195568135995
"60","Barne","Richmond upon Thames",20.0907982857231
"61","Barne","Southwark",20.5410236790253
"62","Barne","Sutton",18.3767973235578
"63","Barne","Tower Hamlets",28.3363362774986
"64","Barne","Waltham Forest",16.4998278810728
"65","Barne","Wandsworth",13.8891407923122
"66","Barne","Westminster",18.3228787222309
"67","Bexley","Barking and Dagenham",9.26479444102809
"68","Bexley","Barne",29.9232266313734
"69","Bexley","Bexley",0
"70","Bexley","Brent",30.4745446411824
"71","Bexley","Bromley",11.7335511286647
"72","Bexley","Camden",22.8826535926408
"73","Bexley","City of London",17.3597867149612
"74","Bexley","Croydon",21.8281560966484
"75","Bexley","Ealing",19.8200469999732
"76","Bexley","Enfield",33.5784068845919
"77","Bexley","Greenwich",26.4736872197998
"78","Bexley","Hackney",6.21711923163597
"79","Bexley","Hammersmith and Fulham",17.5275823898088
"80","Bexley","Haringey",25.5083690279468
"81","Bexley","Harrow",22.5404117749532
"82","Bexley","Havering",36.847716162126
"83","Bexley","Hillingdon",12.5983150026952
"84","Bexley","Hounslow",41.7967233191916
"85","Bexley","Islington",35.3429860968899
"86","Bexley","Kensington and Chelsea",20.0626079930977
"87","Bexley","Kingston upon Thames",23.6674959493159
"88","Bexley","Lambeth",30.9370809160245
"89","Bexley","Lewisham",18.13161198498
"90","Bexley","Merton",11.389721083941
"91","Bexley","Newham",24.2815834941481
"92","Bexley","Redbridge",10.3393389629872
"93","Bexley","Richmond upon Thames",14.6284974784047
"94","Bexley","Southwark",31.6685674743169
"95","Bexley","Sutton",15.1092531421952
"96","Bexley","Tower Hamlets",24.8202378859027
"97","Bexley","Waltham Forest",13.7249268106759
"98","Bexley","Wandsworth",18.3051603236201
"99","Bexley","Westminster",22.8538770850035
"100","Brent","Barking and Dagenham",27.8559105937719
"101","Brent","Barne",7.54316130521223
"102","Brent","Bexley",30.4745446411824
"103","Brent","Brent",0
"104","Brent","Bromley",30.3822544936967
"105","Brent","Camden",7.77438869849197
"106","Brent","City of London",13.1196422102878
"107","Brent","Croydon",8.98024557710251
"108","Brent","Ealing",25.8592170421387
"109","Brent","Enfield",5.94379292429971
"110","Brent","Greenwich",16.1908364086418
"111","Brent","Hackney",24.3151804742654
"112","Brent","Hammersmith and Fulham",14.1978915613409
